3.88054,0.376407,-34.1497,-2.49891,1.89129
3.0627,0.240492,-27.3943,-2.20133,1.40448
3.06864,0.289048,-0.27324,-0.0137484,-33.03,-2.37289,1.71907
14.7915,1.14595,-18.5984,-1.67992,1.71639
19.8609,1.81843,-19.0553,-1.63683,1.86499
10.7164,0.985958,-22.0167,-2.05915,1.82791
13.8216,1.43319,-25.8379,-2.14145,2.10545
17.2278,1.71515,-20.7785,-1.86103,2.10224
5.77736,0.581146,-32.6174,-2.61844,1.97697
3.04007,0.323885,-25.4685,-2.60458,2.12783
44.9143,2.45473,11.5887,1.41211,-16.9348,-2.08315,2.69994
6.87516,0.484431,-19.3204,-1.54824,1.51459
5.99523,0.516683,-17.3332,-1.51725,1.81743
6.03825,0.455551,-19.1499,-1.49041,1.58263
7.98345,0.62288,-14.5295,-1.26374,1.80602
10.1384,1.0261,-15.2412,-1.43329,2.2155
7.03303,0.436766,-18.7193,-1.43481,1.65222
7.05607,0.569551,-14.2415,-1.27132,1.95687
6.81067,0.681786,-17.495,-1.59782,2.24668
8.37102,0.582842,-17.9903,-1.32812,1.41161
16.6223,1.12926,-18.1292,-1.45755,1.47864
16.8314,1.29935,-16.1572,-1.41793,1.73538

